canonical_keyword,keyword_set_mode,keyword,title,url,published_at,description,bloggername,bloggerlink,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload
과,single_term_fallback,과,외국인 13일 연속 매도 후 삼성전자·하이닉스를 다시 사기... ,https://blog.naver.com/alliswell633/224297205682,20260526,"외국인은 보통 시장 전체를 보기보다 “지금 가장 싸 보이는 곳”<b>과</b> “다시 돈이 몰릴 가능성이 있는 곳”을 먼저 봅니다. 그동안 반도체주는 많이 올랐고, 차익실현도 상당히 나왔습니다. 여기에 미국 금리... ",소소하지만 확실한 행복,blog.naver.com/alliswell633,naver_blog,과,canonical,1.0,2026-05-26T11:49:32.682218+00:00,0,0,0,0,소소하지만 확실한 행복,"외국인은 보통 시장 전체를 보기보다 “지금 가장 싸 보이는 곳”<b>과</b> “다시 돈이 몰릴 가능성이 있는 곳”을 먼저 봅니다. 그동안 반도체주는 많이 올랐고, 차익실현도 상당히 나왔습니다. 여기에 미국 금리... ","{""title"": ""외국인 13일 연속 매도 후 삼성전자·하이닉스를 다시 사기... "", ""link"": ""https://blog.naver.com/alliswell633/224297205682"", ""description"": ""외국인은 보통 시장 전체를 보기보다 “지금 가장 싸 보이는 곳”<b>과</b> “다시 돈이 몰릴 가능성이 있는 곳”을 먼저 봅니다. 그동안 반도체주는 많이 올랐고, 차익실현도 상당히 나왔습니다. 여기에 미국 금리... "", ""bloggername"": ""소소하지만 확실한 행복"", ""bloggerlink"": ""blog.naver.com/alliswell633"", ""postdate"": ""20260526""}"
과,single_term_fallback,과,"떨어진 내 신용점수, 100점 올리는 확실한 방법 5가지",https://blog.naver.com/velogra/224297205532,20260526,"<b>과</b>거에는 1등급부터 10등급까지 나누던 신용등급제가 폐지되고, 이제는 1점부터 1,000점까지 정교하게... 점수 몇 점 차이로 대출 금리가 크게 달라지기 때문에 평소 관리가 매우 중요합니다. 오늘은 일상생활... ",velogra님의 블로그,blog.naver.com/velogra,naver_blog,과,canonical,1.0,2026-05-26T11:49:32.682218+00:00,0,0,0,0,velogra님의 블로그,"<b>과</b>거에는 1등급부터 10등급까지 나누던 신용등급제가 폐지되고, 이제는 1점부터 1,000점까지 정교하게... 점수 몇 점 차이로 대출 금리가 크게 달라지기 때문에 평소 관리가 매우 중요합니다. 오늘은 일상생활... ","{""title"": ""떨어진 내 신용점수, 100점 올리는 확실한 방법 5가지"", ""link"": ""https://blog.naver.com/velogra/224297205532"", ""description"": ""<b>과</b>거에는 1등급부터 10등급까지 나누던 신용등급제가 폐지되고, 이제는 1점부터 1,000점까지 정교하게... 점수 몇 점 차이로 대출 금리가 크게 달라지기 때문에 평소 관리가 매우 중요합니다. 오늘은 일상생활... "", ""bloggername"": ""velogra님의 블로그"", ""bloggerlink"": ""blog.naver.com/velogra"", ""postdate"": ""20260526""}"
과,single_term_fallback,과,"대원외고 입학전형, 놓치고 있는 것은",https://blog.naver.com/exit4643/224297205313,20260526,"&quot; 대원외고 입학을 준비하는 학생<b>과</b> 학부모님들의 대표적인 고민입니다. 대원외고는 우수한 학생들이... 1단계는 영어 교<b>과</b>성적(160점)<b>과</b> 출결(감점)로 1.5배수를 선발 후, 2단계에서 1단계 성적(160점)에 면접점수... ",특목고 추월차선 연구소,blog.naver.com/exit4643,naver_blog,과,canonical,1.0,2026-05-26T11:49:32.682218+00:00,0,0,0,0,특목고 추월차선 연구소,"&quot; 대원외고 입학을 준비하는 학생<b>과</b> 학부모님들의 대표적인 고민입니다. 대원외고는 우수한 학생들이... 1단계는 영어 교<b>과</b>성적(160점)<b>과</b> 출결(감점)로 1.5배수를 선발 후, 2단계에서 1단계 성적(160점)에 면접점수... ","{""title"": ""대원외고 입학전형, 놓치고 있는 것은"", ""link"": ""https://blog.naver.com/exit4643/224297205313"", ""description"": ""&quot; 대원외고 입학을 준비하는 학생<b>과</b> 학부모님들의 대표적인 고민입니다. 대원외고는 우수한 학생들이... 1단계는 영어 교<b>과</b>성적(160점)<b>과</b> 출결(감점)로 1.5배수를 선발 후, 2단계에서 1단계 성적(160점)에 면접점수... "", ""bloggername"": ""특목고 추월차선 연구소"", ""bloggerlink"": ""blog.naver.com/exit4643"", ""postdate"": ""20260526""}"
과,single_term_fallback,과,Stevenson School(스티븐슨 스쿨),https://blog.naver.com/ivykeystone/224297205140,20260526,"그러나 2026년 가을 개관하는 새 수학·<b>과</b>학·공학 센터(MSEC) 덕분에, 스티븐슨은 서부 보딩스쿨 중 STEM 인프라가 가장 빠르게 진화하는 학교 중 하나가 되고 있다. 이번 글은 공식 홈페이지... ",아이비키스톤,blog.naver.com/ivykeystone,naver_blog,과,canonical,1.0,2026-05-26T11:49:32.682218+00:00,0,0,0,0,아이비키스톤,"그러나 2026년 가을 개관하는 새 수학·<b>과</b>학·공학 센터(MSEC) 덕분에, 스티븐슨은 서부 보딩스쿨 중 STEM 인프라가 가장 빠르게 진화하는 학교 중 하나가 되고 있다. 이번 글은 공식 홈페이지... ","{""title"": ""Stevenson School(스티븐슨 스쿨)"", ""link"": ""https://blog.naver.com/ivykeystone/224297205140"", ""description"": ""그러나 2026년 가을 개관하는 새 수학·<b>과</b>학·공학 센터(MSEC) 덕분에, 스티븐슨은 서부 보딩스쿨 중 STEM 인프라가 가장 빠르게 진화하는 학교 중 하나가 되고 있다. 이번 글은 공식 홈페이지... "", ""bloggername"": ""아이비키스톤"", ""bloggerlink"": ""blog.naver.com/ivykeystone"", ""postdate"": ""20260526""}"
과,single_term_fallback,과,국산 최고급 기구 다이어트  트라이피트니스 헬스&amp;PT 율하점... ,https://blog.naver.com/lovely_jinnn/224297205212,20260526,"청결하게 관리된 시설 덕분에 처음 오는 분들도 부담 없이 운동에 집중할 수 있죠. 게다가 주차시설이... 해부학<b>과</b> 운동역학을 기반으로 한 전문적인 지도를 통해 다이어트, 재활, 체형 교정 분야에서 검증된... ",lovely_jinnn님의 블로그,blog.naver.com/lovely_jinnn,naver_blog,과,canonical,1.0,2026-05-26T11:49:32.682218+00:00,0,0,0,0,lovely_jinnn님의 블로그,"청결하게 관리된 시설 덕분에 처음 오는 분들도 부담 없이 운동에 집중할 수 있죠. 게다가 주차시설이... 해부학<b>과</b> 운동역학을 기반으로 한 전문적인 지도를 통해 다이어트, 재활, 체형 교정 분야에서 검증된... ","{""title"": ""국산 최고급 기구 다이어트  트라이피트니스 헬스&amp;PT 율하점... "", ""link"": ""https://blog.naver.com/lovely_jinnn/224297205212"", ""description"": ""청결하게 관리된 시설 덕분에 처음 오는 분들도 부담 없이 운동에 집중할 수 있죠. 게다가 주차시설이... 해부학<b>과</b> 운동역학을 기반으로 한 전문적인 지도를 통해 다이어트, 재활, 체형 교정 분야에서 검증된... "", ""bloggername"": ""lovely_jinnn님의 블로그"", ""bloggerlink"": ""blog.naver.com/lovely_jinnn"", ""postdate"": ""20260526""}"
과,single_term_fallback,과,2026년 5월 26일 염승환이사님의 시장브리핑,https://blog.naver.com/dourbest21/224297205764,20260526,"주요 특징 및 기술주 동향: HP와 레노버의 AI PC 수요 호조 소식에 PC 관련주가 급등했습니다. 엔비디아는... 그 외 퀄컴, 양자 컴퓨팅 관련주도 강세를 보였습니다. 통화 정책 (케빈 노시 신임 연준 의장 취임사)... ","Beyond Expectations Think Rich, Act Rich",blog.naver.com/dourbest21,naver_blog,과,canonical,1.0,2026-05-26T11:49:32.682218+00:00,0,0,0,0,"Beyond Expectations Think Rich, Act Rich","주요 특징 및 기술주 동향: HP와 레노버의 AI PC 수요 호조 소식에 PC 관련주가 급등했습니다. 엔비디아는... 그 외 퀄컴, 양자 컴퓨팅 관련주도 강세를 보였습니다. 통화 정책 (케빈 노시 신임 연준 의장 취임사)... ","{""title"": ""2026년 5월 26일 염승환이사님의 시장브리핑"", ""link"": ""https://blog.naver.com/dourbest21/224297205764"", ""description"": ""주요 특징 및 기술주 동향: HP와 레노버의 AI PC 수요 호조 소식에 PC 관련주가 급등했습니다. 엔비디아는... 그 외 퀄컴, 양자 컴퓨팅 관련주도 강세를 보였습니다. 통화 정책 (케빈 노시 신임 연준 의장 취임사)... "", ""bloggername"": ""Beyond Expectations Think Rich, Act Rich"", ""bloggerlink"": ""blog.naver.com/dourbest21"", ""postdate"": ""20260526""}"
과,single_term_fallback,과,허수아비 11회,https://blog.naver.com/petua413/224297205540,20260526,강태주는 자신의 <b>과</b>오를 속죄하기 위해 임석만<b>과</b> 함께 소송을 진행하기로 하고 변호사(이민기)를 찾아가 의뢰를 하죠. 진범이 자백을 한 상황이므로 충분히 이길 수 있다고 재심을 진행하기로 합니다. 이기환이... ,내 안의 작은 행복,blog.naver.com/petua413,naver_blog,과,canonical,1.0,2026-05-26T11:49:32.682218+00:00,0,0,0,0,내 안의 작은 행복,강태주는 자신의 <b>과</b>오를 속죄하기 위해 임석만<b>과</b> 함께 소송을 진행하기로 하고 변호사(이민기)를 찾아가 의뢰를 하죠. 진범이 자백을 한 상황이므로 충분히 이길 수 있다고 재심을 진행하기로 합니다. 이기환이... ,"{""title"": ""허수아비 11회"", ""link"": ""https://blog.naver.com/petua413/224297205540"", ""description"": ""강태주는 자신의 <b>과</b>오를 속죄하기 위해 임석만<b>과</b> 함께 소송을 진행하기로 하고 변호사(이민기)를 찾아가 의뢰를 하죠. 진범이 자백을 한 상황이므로 충분히 이길 수 있다고 재심을 진행하기로 합니다. 이기환이... "", ""bloggername"": ""내 안의 작은 행복"", ""bloggerlink"": ""blog.naver.com/petua413"", ""postdate"": ""20260526""}"
과,single_term_fallback,과,"상해여행 ep.1 : 상하이 트위스트 추면서(폴럭스, 신천지... ",https://blog.naver.com/mynolit-/224297205620,20260526,패 짱짱 맛없는 모밀<b>과</b> 짱짱 맛없다는 돈가스 먹고 여행의 시작은 커피 아니겠냐며 는 밤이니까... 난관에 부딪힌 우리 두둥 은 일단 어찌저찌해서 택시 타고 브런치 먹으러 신천지 왔습니다~~ POLUX 폴럭스 이럴... ,옐미의 놀이터★,blog.naver.com/mynolit-,naver_blog,과,canonical,1.0,2026-05-26T11:49:32.682218+00:00,0,0,0,0,옐미의 놀이터★,패 짱짱 맛없는 모밀<b>과</b> 짱짱 맛없다는 돈가스 먹고 여행의 시작은 커피 아니겠냐며 는 밤이니까... 난관에 부딪힌 우리 두둥 은 일단 어찌저찌해서 택시 타고 브런치 먹으러 신천지 왔습니다~~ POLUX 폴럭스 이럴... ,"{""title"": ""상해여행 ep.1 : 상하이 트위스트 추면서(폴럭스, 신천지... "", ""link"": ""https://blog.naver.com/mynolit-/224297205620"", ""description"": ""패 짱짱 맛없는 모밀<b>과</b> 짱짱 맛없다는 돈가스 먹고 여행의 시작은 커피 아니겠냐며 는 밤이니까... 난관에 부딪힌 우리 두둥 은 일단 어찌저찌해서 택시 타고 브런치 먹으러 신천지 왔습니다~~ POLUX 폴럭스 이럴... "", ""bloggername"": ""옐미의 놀이터★"", ""bloggerlink"": ""blog.naver.com/mynolit-"", ""postdate"": ""20260526""}"
과,single_term_fallback,과,"서판교 하이브리드 센터 'HACA Training', 7월 GRAND OPEN!... ",https://blog.naver.com/haca_training/224297205508,20260526,"공간<b>과</b> 프로그램을 준비 중입니다.  HACA OPEN TIMELINE 6월 1일 : 인테리어 공사 시작, 오픈 기념 파격... 하이브리드 퍼포먼스 : 크로스핏(CrossFit)<b>과</b> 하이록스(HYROX)를 기반으로 한 고효율·고기능성 운동... ",HACA Training,blog.naver.com/haca_training,naver_blog,과,canonical,1.0,2026-05-26T11:49:32.682218+00:00,0,0,0,0,HACA Training,"공간<b>과</b> 프로그램을 준비 중입니다.  HACA OPEN TIMELINE 6월 1일 : 인테리어 공사 시작, 오픈 기념 파격... 하이브리드 퍼포먼스 : 크로스핏(CrossFit)<b>과</b> 하이록스(HYROX)를 기반으로 한 고효율·고기능성 운동... ","{""title"": ""서판교 하이브리드 센터 'HACA Training', 7월 GRAND OPEN!... "", ""link"": ""https://blog.naver.com/haca_training/224297205508"", ""description"": ""공간<b>과</b> 프로그램을 준비 중입니다.  HACA OPEN TIMELINE 6월 1일 : 인테리어 공사 시작, 오픈 기념 파격... 하이브리드 퍼포먼스 : 크로스핏(CrossFit)<b>과</b> 하이록스(HYROX)를 기반으로 한 고효율·고기능성 운동... "", ""bloggername"": ""HACA Training"", ""bloggerlink"": ""blog.naver.com/haca_training"", ""postdate"": ""20260526""}"
과,single_term_fallback,과,"양자컴퓨터 시대, PQC와 QKD 뭐가 다를까? 글로벌 기업별 기술... ",https://blog.naver.com/ksu1052/224297205775,20260526,Lightsynq Technologies 광자 연결(photonic interconnect)<b>과</b> 양자 메모리 기술 기업. IonQ Investor Relations.  Oxford Ionics QKD보다 양자컴퓨터 성능 강화 목적. 그래서 아이온큐는 PQC와 QKD 둘 다 하나?  “둘 다 관련... ,10억 만들기,blog.naver.com/ksu1052,naver_blog,과,canonical,1.0,2026-05-26T11:49:32.682218+00:00,0,0,0,0,10억 만들기,Lightsynq Technologies 광자 연결(photonic interconnect)<b>과</b> 양자 메모리 기술 기업. IonQ Investor Relations.  Oxford Ionics QKD보다 양자컴퓨터 성능 강화 목적. 그래서 아이온큐는 PQC와 QKD 둘 다 하나?  “둘 다 관련... ,"{""title"": ""양자컴퓨터 시대, PQC와 QKD 뭐가 다를까? 글로벌 기업별 기술... "", ""link"": ""https://blog.naver.com/ksu1052/224297205775"", ""description"": ""Lightsynq Technologies 광자 연결(photonic interconnect)<b>과</b> 양자 메모리 기술 기업. IonQ Investor Relations.  Oxford Ionics QKD보다 양자컴퓨터 성능 강화 목적. 그래서 아이온큐는 PQC와 QKD 둘 다 하나?  “둘 다 관련... "", ""bloggername"": ""10억 만들기"", ""bloggerlink"": ""blog.naver.com/ksu1052"", ""postdate"": ""20260526""}"
